,0
0,0.0
1,3.768121888917407e+145
2,5.176583187149539e+131
3,2.4250557710839057e+131
4,2.327603885217617e+131
5,-2.99616616131261e+193
6,-2.9824587782023112e+113
7,-1.64707149963491e+113
8,-4.7475344590220006e+114
9,1.773018542396906e+193
10,1.773018542396906e+193
11,-6.313716441386989e+172
12,1.05
13,1.045
14,1.01
15,-1.241093833171987e+146
16,-4.779217902504366e+131
17,1.795483600978091e+131
18,1.2040530800260088e+261
19,2.583226480321321e+261
20,-2.743431758618494e+180
21,1.06
22,-3.58498245310338e+259
23,1.04
